filter_p,prolificID,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,moral_to_wis_agree,wis_to_moral_agree,morality_wis_analogy,moral_wis_comments,t.morals_First Click,t.morals_Last Click,t.morals_Page Submit,t.morals_Click Count,wis_psych_char,t.universals_First Click,t.universals_Last Click,t.universals_Page Submit,t.universals_Click Count,IMW_J,IMW_O,IMW_FINAL,FRMW_J,FRMW_O,FRMW_FINAL,FRWM_J,FRWM_O,FRWM_FINAL,FRJF_J,FRJF_O,FRJF_FINAL,TRMW_J,TRMW_O,TRMW_FINAL,TRWM_J,TRWM_O,TRWM_FINAL,TRHOC_J,TRHOC_O,TRHOC_FINAL,PR_J,PR_O,PR_FINAL,DR_J,DR_O,DR_FINAL,FM_J,FM_O,FM_FINAL,CONSTRUCT_J,CONSTRUCT_O,CONSTRUCT_FINAL,Intention_J,Intention_O,Intention_FINAL,Action_J,Action_O,Action_FINAL,MDW_J,MDW_O,MDW_FINAL,wisdom_culture,AR_K,AR_H,AR_FINAL,U_K,U_H,U_FINAL,MBR_K,MBR_H,MBR_FINAL,CCOMPETENCE_K,CCOMPETENCE_H,CCOMPETENCE_FINAL,universals_sorting_0_GROUP,universals_sorting_1_GROUP,universals_sorting_2_GROUP,universals_sorting_3_GROUP,,universals_sorting_0_1_RANK,universals_sorting_0_2_RANK,universals_sorting_0_3_RANK,universals_sorting_0_4_RANK,universals_sorting_0_5_RANK,universals_sorting_0_6_RANK,universals_sorting_0_7_RANK,universals_sorting_0_8_RANK,universals_sorting_0_9_RANK,universals_sorting_0_10_RANK,universals_sorting_0_11_RANK,universals_sorting_0_12_RANK,universals_sorting_0_13_RANK,universals_sorting_0_14_RANK,universals_sorting_0_15_RANK,universals_sorting_0_16_RANK,universals_sorting_0_17_RANK,universals_sorting_1_1_RANK,universals_sorting_1_2_RANK,universals_sorting_1_3_RANK,universals_sorting_1_4_RANK,universals_sorting_1_5_RANK,universals_sorting_1_6_RANK,universals_sorting_1_7_RANK,universals_sorting_1_8_RANK,universals_sorting_1_9_RANK,universals_sorting_1_10_RANK,universals_sorting_1_11_RANK,universals_sorting_1_12_RANK,universals_sorting_1_13_RANK,universals_sorting_1_14_RANK,universals_sorting_1_15_RANK,universals_sorting_1_16_RANK,universals_sorting_1_17_RANK,universals_sorting_2_1_RANK,universals_sorting_2_2_RANK,universals_sorting_2_3_RANK,universals_sorting_2_4_RANK,universals_sorting_2_5_RANK,universals_sorting_2_6_RANK,universals_sorting_2_7_RANK,universals_sorting_2_8_RANK,universals_sorting_2_9_RANK,universals_sorting_2_10_RANK,universals_sorting_2_11_RANK,universals_sorting_2_12_RANK,universals_sorting_2_13_RANK,universals_sorting_2_14_RANK,universals_sorting_2_15_RANK,universals_sorting_2_16_RANK,universals_sorting_2_17_RANK,universals_sorting_3_1_RANK,universals_sorting_3_2_RANK,universals_sorting_3_3_RANK,universals_sorting_3_4_RANK,universals_sorting_3_5_RANK,universals_sorting_3_6_RANK,universals_sorting_3_7_RANK,universals_sorting_3_8_RANK,universals_sorting_3_9_RANK,universals_sorting_3_10_RANK,universals_sorting_3_11_RANK,universals_sorting_3_12_RANK,universals_sorting_3_13_RANK,universals_sorting_3_14_RANK,universals_sorting_3_15_RANK,universals_sorting_3_16_RANK,universals_sorting_3_17_RANK,t.culture_First Click,t.culture_Last Click,t.culture_Page Submit,t.culture_Click Count,comments,age,sex,gender,gender_5_TEXT,edu,prior.knowledge,occupation,ethnicity,religion,religion_9_TEXT,Politics_1,country,income,more.coments,PROLIFIC_PID,STUDY_ID,SESSION_ID
0,,10/22/2021 13:57,10/22/2021 14:07,IP Address,82.13.152.31,100,574,TRUE,10/22/2021 14:07,R_12a62dfXQZ6q25O,,,,,51.49000549,-0.655700684,anonymous,EN,I consent to participate in this study,"Morality is relevant for wisdom,Morality is necessary for wisdom","Wisdom is a precursor for morality,Wisdom is necessary for morality",stone is to marble,Morality is the understanding of what is right and wrong.,3.69,110.471,111.663,4,"You are more impulsive if you haven't seen more, learnt more and been around more knowledge. ",0,0,11.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western culture is known to adapt fast and forget its culture if it means that it can dominate, survive or upgrade. Where as eastern cultures adapt but they don't forget themselves and they have more of a respect to knowledge and don't consume it like it is food.",0,,0,0,,0,0,,0,1,,1,Self-transcendence,Realization of shared humanity,"Deliberation/Reflection,In-group cooperation,Balance of diverse interests,Self-compassion,Uncertainty management,Humor","Pursuit of truth,Declarative (book) knowledge,Seeking Insight /Meaning",,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,2,,3,,5,,,4,6,,,,,,,,1,,,,,,2,3,,,23.226,37.476,152.254,3,Wisdom is given to all but few can ever attain it.,,,,,,,,,,,,,,,,,
0,,10/22/2021 13:58,10/22/2021 14:32,IP Address,174.92.137.217,100,2001,TRUE,10/22/2021 14:32,R_2aFt3gwHBlC2eo5,,,,,43.92630005,-79.52490234,anonymous,EN,I consent to participate in this study,,,,"Principles I believe in, good or bad  have nothing to do with being wise or being able to impart any wisdom.

Example: Killing is bad.

My friend gets raped and she asks for my advice on what she should do.

There is no wisdom in telling her that abortion is bad",5.534,328.71,365.489,3,,0,0,315.155,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,"Going back to my prior example, being devoutly Catholic would tend to make me feel that the baby life is the only consideration. But real wisdom should look past cultural interferences and take into account that my young friend, is also atheist is only 19, was raped and has the rest of her life ahead of her.",0,,0,0,,0,0,,0,1,,1,"In-group cooperation,Experiential knowledge,Balance of diverse interests,Context-sensitivity","Declarative (book) knowledge,Realization of shared humanity,Uncertainty management","Seeking Insight /Meaning,Epistemic humility/Recognition of limits of one's knowledge & one's fallibility,Self-transcendence","Deliberation/Reflection,Equanimity/Self-control,Sympathy/compassion,Open-mindedness/Consideration of diverse perspectives,Self-compassion,Humor,Pursuit of truth",,,,,4,,,,,1,,3,2,,,,,,,,,,,,2,,,,,,3,1,,,,2,,,,3,,,,,,,,,,1,,,,4,2,,,1,,7,,3,,,,,,5,6,33.155,496.337,512.487,23,,,,,,,,,,,,,,,,,,
0,5680383ac5767f000d1c7e77,10/22/2021 13:01,10/22/2021 13:11,IP Address,81.98.208.104,100,602,TRUE,10/22/2021 13:11,R_2X6cWet7vCvLLbD,,,,,51.65240479,-0.27520752,anonymous,EN,I consent to participate in this study,Morality is relevant for wisdom,Wisdom is relevant for morality,happiness is to contentment,"You don't need to have one to have the other necessarily, but I think intelligence and morailty are definitely linked",1.302,133.849,134.791,7,People need to think things through in an intelligent manner to be moral,101.433,101.433,102.493,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Those two things are not related, culture is more related to upbringing",0,,0,0,,0,0,,0,0,,0,"Self-compassion,Humor","Uncertainty management,Balance of diverse interests,Seeking Insight /Meaning,Realization of shared humanity,Epistemic humility/Recognition of limits of one's knowledge & one's fallibility,Experiential knowledge,Self-transcendence,Open-mindedness/Consideration of diverse perspectives,In-group cooperation,Sympathy/compassion,Deliberation/Reflection","Pursuit of truth,Context-sensitivity,Equanimity/Self-control",Declarative (book) knowledge,,,,,,,,,,,,,,,,,1,2,5,8,,,7,11,4,,9,10,2,6,1,,3,,,,,3,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,48.852,104.135,105.326,7,no,47,Female,,,,,,,,,,,,,,,
0,56b397952bac74000c89de66,10/22/2021 13:53,10/22/2021 14:09,IP Address,80.6.121.181,100,993,TRUE,10/22/2021 14:09,R_Wr1I9OnGiNL8s3T,,,,,52.96479797,-1.213195801,anonymous,EN,I consent to participate in this study,Morality is necessary for wisdom,"Wisdom is relevant for morality,Wisdom is necessary for morality,Wisdom is sufficient for morality",a bee is drawn to nectar. ,You can't have one without the other. ,1.02,164.416,194.018,5,"By feeling or believing in a certain moral way or how to behave is correct, it then influences your interactions with others in the sense that you will will stand by your conviction and look to have a positive impact on who you are interacting with. ",8.725,8.725,48.305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,,0,0,,0,0,,0,"Culture is very subjective all over the world. Many believe their culture is right and look down on other cultures and practices as backwards or immoral. I think culture does influence your characteristics of wisdom in a negative, but only if you only explore one culture in your life. If you are more open to other lifestyles and ways of living then you will begin to question your original cultural upbringing and gain more knowledge and wisdom through this.",1,,1,0,,0,0,,0,1,,1,"Balance of diverse interests,Self-compassion,Context-sensitivity,In-group cooperation,Equanimity/Self-control","Epistemic humility/Recognition of limits of one's knowledge & one's fallibility,Experiential knowledge,Declarative (book) knowledge,Deliberation/Reflection","Realization of shared humanity,Humor,Uncertainty management,Sympathy/compassion","Pursuit of truth,Open-mindedness/Consideration of diverse perspectives,Self-transcendence,Seeking Insight /Meaning",,,,5,3,,,,,4,,1,,,,,2,,1,,,,,4,,,,,,2,,3,,,,,,,,,,1,,,4,,,3,,,,2,,2,,,3,,,1,,,,,,,4,,,4.657,82.676,84.268,13,None -thanks,35,Male,,,,,,,,,,,,,,,
0,572e0682bb6cca000e53dfa2,10/22/2021 11:46,10/22/2021 12:09,IP Address,94.196.221.80,100,1423,TRUE,10/22/2021 12:09,R_3h40bxeWsnL0bQt,,,,,51.49639893,-0.122406006,anonymous,EN,I consent to participate in this study,Morality is relevant for wisdom,,,"I didn't click on any of the 4 items in the immediately preceding question because I thought that morality doesn't necessarily require wisdom, i.e. you don't have to be wise to know what is right and wrong.  It might help, but it's not a necessity.",6.266,6.266,113.245,1,,2.281,2.281,164.465,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,"Again, I don't think that you have to be cultured to be wise - a person may not have academic learning, or indeed any education, but may still be able to offer wise counsel to people.  Culture, in terms of knowing (for example) the history of Greek philosophy, might be an advantage, and help a particular person make pronouncements in their life which are perceived as wise, but I don't necessarily think it's a definite requirement.  ",0,,0,0,,0,0,,0,1,,1,"Experiential knowledge,Declarative (book) knowledge","Balance of diverse interests,Context-sensitivity,Epistemic humility/Recognition of limits of one's knowledge & one's fallibility,Uncertainty management,Sympathy/compassion,Realization of shared humanity,Seeking Insight /Meaning,In-group cooperation","Open-mindedness/Consideration of diverse perspectives,Humor","Self-transcendence,Self-compassion,Equanimity/Self-control,Deliberation/Reflection,Pursuit of truth",,,,,,,,,,,,,1,,2,,,,3,,,2,,,6,,8,5,1,,4,,7,,,,1,,,,,,,,,,,,,,,2,,,3,,1,4,,5,,,,,,,,2,,80.443,519.303,524.21,5,"I found this topic extremely hard, so it's quite possible I haven't put all the items in the right categories.  Please feel free to disregard/reject my data.
Wisdom can come in many different forms, ranging from the academic wisdom of a well-read person through to pronouncements of the uneducated village elder - and who's to say if any one type is better than any other.",53,Male,,,,,,,,,,,,,,,
0,57a344d28eccbc0001f39d60,10/22/2021 13:12,10/22/2021 13:23,IP Address,2.121.64.189,100,617,TRUE,10/22/2021 13:23,R_1oHfthroFcNvlU3,,,,,54.53959656,-5.975006104,anonymous,EN,I consent to participate in this study,Morality is relevant for wisdom,Wisdom is necessary for morality,Teaching is to knowledge ,,22.385,46.739,46.749,4,I don't believe they are linked in that way,24.4,48.076,49.142,6,0,1,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,"I believe your culture can influence how you process certain things mentally and influence behaviour, for example in certain cultures where women play a secondary role in society to men, i believe it can influence how you think you should feel and behave. Such as, men believing they shouldn't show emotions or engage in behaviour they view as feminine. ",1,,1,0,,0,0,,0,0,,0,"Open-mindedness/Consideration of diverse perspectives,Self-transcendence","Equanimity/Self-control,Context-sensitivity,Declarative (book) knowledge,Balance of diverse interests","In-group cooperation,Realization of shared humanity,Uncertainty management,Experiential knowledge","Deliberation/Reflection,Pursuit of truth,Self-compassion,Epistemic humility/Recognition of limits of one's knowledge & one's fallibility,Humor,Sympathy/compassion,Seeking Insight /Meaning",,,1,,,2,,,,,,,,,,,,,,,1,2,,,,,,,4,,,3,,,,,,,,,,2,,1,,,4,3,,,,,4,,,,,1,,2,,6,,,,,7,3,5,2.891,134.717,135.529,69,,25,Female,,,,,,,,,,,,,,,
0,57cdbdf35e52f00001612439,10/22/2021 12:52,10/22/2021 13:18,IP Address,82.2.204.112,100,1552,TRUE,10/22/2021 13:18,R_1hAW8q5dT7lQRxE,,,,,52.95379639,-1.157104492,anonymous,EN,I consent to participate in this study,"Morality is a precursor for wisdom,Morality is necessary for wisdom",Wisdom is relevant for morality,a flower is to the sun.,"Without morality, that is, without good values, one cannot make good choices and live well. That's why I thought morality is necessary and precursor to wisdom. But on second thought, they depend on one another. Without wisdom how can one have good values? It's all knowledge in the end. You are not wise if you are not moral and vice versa. Being moral requires being bound to reality and truth seeking.",3.802,532.871,536.116,24,"I think it depends completely. But most importantly, one has to understand what it means to be moral. If one's ideas of what is good are wrong, then one won't be wise.",43.333,72.03,72.812,5,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,"Culture has huge psychological pressure on people but it doesn't tend to offer the best in terms of moral values. Culture alone doesn't create wise people. It offers shortcuts to thinking, distractions, temptations, and contradictions. It offers perhaps some safety in tradition. But wisdom requires deeper thinking.",0,,0,1,,1,0,,0,0,,0,"Epistemic humility/Recognition of limits of one's knowledge & one's fallibility,Open-mindedness/Consideration of diverse perspectives,Declarative (book) knowledge,Context-sensitivity","Pursuit of truth,Seeking Insight /Meaning,Equanimity/Self-control,Self-compassion,Self-transcendence","Realization of shared humanity,Sympathy/compassion,Balance of diverse interests,Uncertainty management","Humor,Deliberation/Reflection,Experiential knowledge,In-group cooperation",,1,2,,4,,,,,,,,,,3,,,,,,3,,5,,,1,,,,,,,2,4,,,,,,,,1,,,2,3,,4,,,,,,,,,,2,,,4,,,3,,,,,1,10.094,10.094,210.749,1,No.,46,Female,,,,,,,,,,,,,,,
0,583492b3ef3ec1000175ee76,10/22/2021 12:18,10/22/2021 12:29,IP Address,69.244.2.217,100,660,TRUE,10/22/2021 12:29,R_1qh9XUfhRLOXBQx,,,,,32.43370056,-111.1428986,anonymous,EN,I consent to participate in this study,Morality is relevant for wisdom,Wisdom is relevant for morality,to water as to river. ,Morality gives perspective,1.952,84.904,85.934,7,I believe that morality gives perspective to people intentions and actions. ,8.92,8.92,22.182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Peoples cultures can help shape how they see morality and gain wisdom. ,0,,0,1,,1,0,,0,0,,0,"Experiential knowledge,Declarative (book) knowledge,Seeking Insight /Meaning,Sympathy/compassion,Pursuit of truth,Context-sensitivity","Uncertainty management,Open-mindedness/Consideration of diverse perspectives,Self-transcendence,Realization of shared humanity,Self-compassion","Balance of diverse interests,Epistemic humility/Recognition of limits of one's knowledge & one's fallibility,Equanimity/Self-control,Deliberation/Reflection","In-group cooperation,Humor",,,,,6,,,,5,,4,,1,,2,3,,,,2,,,3,,4,,,,,,1,,,5,,2,,3,,,4,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,2,116.468,116.468,122.154,1,,32,Male,,,,,,,,,,,,,,,
0,58ab4f1bea3d11000170e72e,10/22/2021 14:11,10/22/2021 14:46,IP Address,82.40.87.112,100,2090,TRUE,10/22/2021 14:46,R_1igoboMxKhnDQmV,,,,,52.51899719,-1.909393311,anonymous,EN,I consent to participate in this study,"Morality is relevant for wisdom,Morality is necessary for wisdom",Wisdom is relevant for morality,apple to a fruit,"anyone can be moral no matter how wise, but I would say you cant be wise without being moral as its pretty dumb to not be moral. ",4.663,274.657,290.864,28,"I think being wise includes knowing that the world would be a better place if people were moral and would lead to them themselves trying to be a moral person. on the other hand, i think a smart person could say that they should be imoral in some aspects if it helps their career or smth but i wouldnt say that is wise. saying that, im not 100% sure i understand the question.",2.013,116.658,117.018,62,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"wisdom is a human thing, not a culture thing. I dont think they are related. Different cultures use their wisdom is different ways, you could say some cultures are more wise than others, (as in i dont know how wise a primitive tribe could be compared to modern cultures with modern science/research etc. But just because someone is part of a culture with these thing it doesnt make them wise by default.

to clarify, I dont think knowing science etc makes you wise, but i think it encourages people to seek out wisdom. A university student has the time and energy to think about whats right and wrong and how the world works/should work. a member of a primitive tribe is probably more focused on trying to survive. that doesnt mean an indivual tribalist couldnt be wise, but the general culture would not encourage seeking wisdom as much as an other culture could. the other obvious example is religions that support/shun science and individuality",0,,0,0,,0,0,,0,0,,0,"Declarative (book) knowledge,Experiential knowledge",Self-transcendence,"Realization of shared humanity,Equanimity/Self-control,Pursuit of truth,Open-mindedness/Consideration of diverse perspectives,Humor,Self-compassion","Epistemic humility/Recognition of limits of one's knowledge & one's fallibility,Sympathy/compassion,Uncertainty management,Balance of diverse interests,In-group cooperation,Seeking Insight /Meaning,Context-sensitivity,Deliberation/Reflection",,,,,,,,,,,,,2,,1,,,,,,,,1,,,,,,,,,,,,,,4,2,,,,1,3,,,,,,,,6,5,1,,,7,,8,,,5,2,4,,3,,6,,,5.316,220.009,251.828,16,its a pretty vague word. I was thinking of master oogway throughout as inspiration.,22,Male,,,,,,,,,,,,,,,
0,597bc1a20a0179000199a2c8,10/22/2021 13:37,10/22/2021 13:54,IP Address,96.41.49.216,100,987,TRUE,10/22/2021 13:54,R_2D6typSgtyRcqdN,,,,,34.41789246,-117.3063965,anonymous,EN,I consent to participate in this study,Morality is relevant for wisdom,"Wisdom is relevant for morality,Wisdom is sufficient for morality",Greed is to human nature,"Morality is a very difficult term to describe. Is morality even possible? What is the basis for morality? If a human was born in the wild with no concept of civilization, would they have morals? It may even seem that morals are the opposite of human nature, yet that brings forth another argument entirely as to what even is human nature.",78.013,78.013,276.82,1,Wisdom needs some kind of outlet to grow in. You cannot be simply born with it. You need to learn at some point what constitutes having wisdom and then go seek out how to obtain it.,0,0,61.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wisdom and its relationship with culture relies purely on the culture's perspective of wisdom and how much it is viewed as a sought after attribute. Some cultures do not focus on wisdom; rather they value other traits in place of wisdom. This may indirectly affect your psychological characteristics of wisdom.,1,,1,0,,0,0,,0,1,,1,,"Self-transcendence,Realization of shared humanity","Context-sensitivity,Pursuit of truth,Experiential knowledge","In-group cooperation,Seeking Insight /Meaning,Epistemic humility/Recognition of limits of one's knowledge & one's fallibility,Equanimity/Self-control",,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,1,,,,2,,,,3,,,,,,3,,4,,,,,,1,,,,,,2,,,84.658,156.222,156.826,2,"With any term involving human psychology, take it all with a grain of salt. Everything can be looked at from a different perspective, so challenge what you know and what you don't.",22,Male,,,,,,,,,,,,,,,
