StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,t.intro_First Click,t.intro_Last Click,t.intro_Page Submit,t.intro_Click Count,meta_Browser,meta_Version,meta_Operating System,meta_Resolution,field,field_14_TEXT,prior_research,research_morality,research_culturalpsy,education,education_4_TEXT,position,position_8_TEXT,institution_type,institution_type_5_TEXT,country,moral_to_wis_agree,wis_to_moral_agree,morality_wis_analogy,moral_wis_comments,wis_psych_char,wisdomModelFamiliar,model_agreement,model_disagree,wisdom_culture,t.universals_First Click,t.universals_Last Click,t.universals_Page Submit,t.universals_Click Count,universals_sorting_0_GROUP,universals_sorting_1_GROUP,universals_sorting_2_GROUP,universals_sorting_3_GROUP,universals_sorting_0_1_RANK,universals_sorting_0_2_RANK,universals_sorting_0_3_RANK,universals_sorting_0_4_RANK,universals_sorting_0_5_RANK,universals_sorting_0_6_RANK,universals_sorting_0_7_RANK,universals_sorting_0_8_RANK,universals_sorting_0_9_RANK,universals_sorting_0_10_RANK,universals_sorting_0_11_RANK,universals_sorting_0_12_RANK,universals_sorting_0_13_RANK,universals_sorting_0_14_RANK,universals_sorting_0_15_RANK,universals_sorting_0_16_RANK,universals_sorting_0_17_RANK,universals_sorting_1_1_RANK,universals_sorting_1_2_RANK,universals_sorting_1_3_RANK,universals_sorting_1_4_RANK,universals_sorting_1_5_RANK,universals_sorting_1_6_RANK,universals_sorting_1_7_RANK,universals_sorting_1_8_RANK,universals_sorting_1_9_RANK,universals_sorting_1_10_RANK,universals_sorting_1_11_RANK,universals_sorting_1_12_RANK,universals_sorting_1_13_RANK,universals_sorting_1_14_RANK,universals_sorting_1_15_RANK,universals_sorting_1_16_RANK,universals_sorting_1_17_RANK,universals_sorting_2_1_RANK,universals_sorting_2_2_RANK,universals_sorting_2_3_RANK,universals_sorting_2_4_RANK,universals_sorting_2_5_RANK,universals_sorting_2_6_RANK,universals_sorting_2_7_RANK,universals_sorting_2_8_RANK,universals_sorting_2_9_RANK,universals_sorting_2_10_RANK,universals_sorting_2_11_RANK,universals_sorting_2_12_RANK,universals_sorting_2_13_RANK,universals_sorting_2_14_RANK,universals_sorting_2_15_RANK,universals_sorting_2_16_RANK,universals_sorting_2_17_RANK,universals_sorting_3_1_RANK,universals_sorting_3_2_RANK,universals_sorting_3_3_RANK,universals_sorting_3_4_RANK,universals_sorting_3_5_RANK,universals_sorting_3_6_RANK,universals_sorting_3_7_RANK,universals_sorting_3_8_RANK,universals_sorting_3_9_RANK,universals_sorting_3_10_RANK,universals_sorting_3_11_RANK,universals_sorting_3_12_RANK,universals_sorting_3_13_RANK,universals_sorting_3_14_RANK,universals_sorting_3_15_RANK,universals_sorting_3_16_RANK,universals_sorting_3_17_RANK,wis_moral_articles,socio_poli_articles,comments,moral_wis_comments - Topics,moral_wis_comments - Parent Topics
8/4/2021 10:17,8/4/2021 10:26,IP Address,99.250.30.59,100,557,TRUE,8/4/2021 10:26,R_20YRSj9pxD6740e,,,,,43.44760132,-80.4713974,anonymous,EN,0,0,13.02,0,Chrome,92.0.4515.107,Macintosh,1440x900,Other,lol so stupid,,,,Other,haha how desperate do you have to be to go to this,Other,"such a stupid ""summit"" lmao",Other,waste of time and money,bullshit,,,,,,,,,literally the most useless thing I have ever laid eyes on,0,0,1.999,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lmao so dumb,lmao what is this s***,seeking advice on how to manipulate my way up the academic latter. please advise,,
8/4/2021 10:31,8/4/2021 10:47,IP Address,108.17.94.186,100,973,TRUE,8/4/2021 10:47,R_DeCfrcEBlZjk2nD,,,,,40.54570007,-80.05079651,anonymous,EN,0,0,5.054,0,Safari,14.1.2,Macintosh,1536x960,"Social Psychology,Cognitive Psychology,Personality Psychology,Quantitative Psychology,Moral Psychology,Moral philosophy,Cognitive Science,Other",Philosophy of Science,Yes,Yes,Yes,PhD,,Assistant Professor,,University,,United States,Morality is relevant for wisdom,Wisdom is relevant for morality,"They are not related except accidentally. (This was not an option on prior questions—an oversight as far as I can tell.) Being wise may require one to know the moral customs of the cultures with which one interacts, but that is more about understanding culture than understanding morality in particular. The same goes for wisdom and other cultural aspects—e.g., food norms, traffic laws, etc. So wisdom is as related to morality as wisdom is related to eating pork or driving on the ""right"" side of the road. ","It'd be nice if psychologists and philosophers stopped assuming that morality is a matter of right and wrong, correct or incorrect, wise and unwise, etc. Morality may just be a culturally conditioned set of norms, rules, etc. (see Jesse Prinz's work). It can be wise to know how others are conditioned, but that may all there is to say about the relationship between wisdom and morality.",This sounds like an empirical question. I do not have the data. So I do not know.,No,,,"One would be wise (i.e., pragmatic) to understand the cultures with which one interacts. That way one can understand how to minimize gratuitous conflict, strife, misunderstanding, etc.",0,0,10.109,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""no item-set of the AOT could be obtained to validly order individuals on the assumed latent trait, which is a crucial assumption when using it in research"" (Janssen et al., 2020).  Janssen, E. M., Verkoeijen, P. P. J. L., Heijltjes, A. E. G., Mainhard, T., van Peppen, L. M., & van Gog, T. (2020). Psychometric properties of the Actively Open-minded Thinking scale. Thinking Skills and Creativity, 36, 100659. https://doi.org/10.1016/j.tsc.2020.100659  Wisdom is a phenomena that emerges from groups, not individuals. And diversity matters (Thomas et al., 2021).  Thomas, B., Coon, J., Westfall, H. A., & Lee, M. D. (2021). Model-Based Wisdom of the Crowd for Sequential Decision-Making Tasks. Cognitive Science, 45(7), e13011. https://doi.org/10.1111/cogs.13011 ",,,Unknown,
8/4/2021 11:00,8/4/2021 11:10,IP Address,68.113.166.109,100,625,TRUE,8/4/2021 11:10,R_3jYE5vFuWhpV8rH,,,,,41.78289795,-72.33190155,anonymous,EN,5.671,6.814,7.363,2,Safari iPhone,14.1.2,iPhone,375x667,Social Psychology,,No,No,Yes,PhD,,Graduate student,,Liberal arts college,,US,Morality is necessary for wisdom,Wisdom is necessary for morality,Leaves to the tree,,,No,,,Culture affords wisdom. Different cultures emerged from diverse geographical areas and shared by its people. Wisdom emerges from the culture it rooted in and serves its people.,4.966,4.966,9.214,1,"Open-mindedness/Consideration of diverse perspectives,Sympathy/compassion,Self-transcendence,Self-compassion,Equanimity/Self-control,Realization of shared humanity,Context-sensitivity","Balance of diverse interests,Humor,Uncertainty management","Deliberation/Reflection,Pursuit of truth,Epistemic humility/Recognition of limits of knowledge & one's fallibility,Seeking Insight /Meaning","In-group cooperation,Declarative (book) knowledge,Experiential knowledge",,1,5,7,3,,6,,,2,,,,,,4,,,,,,,,,,,,1,,3,,,,2,3,,,,,1,,2,,,,,,,4,,,,,,,,,,,1,,,3,,2,,,,,,,,
8/4/2021 10:37,8/4/2021 11:14,IP Address,72.140.120.166,100,2183,TRUE,8/4/2021 11:14,R_291fEHFTI40Olla,,,,,43.44760132,-80.4713974,anonymous,EN,0,0,43.427,0,Safari,14.1.2,Macintosh,1440x900,"Social Psychology,Cognitive Psychology,Moral Psychology",,Yes,Yes,No,Masters,,Graduate student,,University,,Canada,Morality is relevant for wisdom,Wisdom is relevant for morality,"Height is to weight; often related but also dissociable (as short people can be incredibly heavy people lacking wisdom can be incredibly moral; as tall people can be light, wise people can be immoral).","'- My intuitions (having not read extensively on wisdom) is that wisdom often leads to moral behaviour on account of good judgment more typically leading to behaviours that promote cooperation (typically adaptive) as opposed to behaviours that fracture relationships (often maladaptive);  - Nevertheless, wise judgment does not seem to necessitate moral behaviour, especially if one's goals/values are less-than-moral. ","'- I believe wisdom is more likely to lead to moral intentions on account of our social environment typically being such that moral/cooperative desires lead to better outcomes for the self (and others);  - Wisdom seems to me to be less intertwined with moral actions, as if one has immoral desires wise actions may often also be immoral.",No,,,"'- To the extent that people across cultures need to solve similar problems, wisdom can be expected to be similar across cultures. To the extent that people across cultures need to solve different problems, wisdom can be expected to differ among cultures.",0,0,50.097,0,,"Equanimity/Self-control,Self-transcendence,Pursuit of truth,Context-sensitivity","In-group cooperation,Epistemic humility/Recognition of limits of knowledge & one's fallibility,Humor,Seeking Insight /Meaning,Open-mindedness/Consideration of diverse perspectives,Sympathy/compassion","Experiential knowledge,Uncertainty management",,,,,,,,,,,,,,,,,,,,1,4,2,,,3,,,,,,,,,,2,5,,,,,,,1,6,,,,,4,,3,,,,,,,,,,,,1,2,,,,,,,Look forward to attending!,Unknown,
8/4/2021 10:58,8/4/2021 11:22,IP Address,99.251.58.193,100,1462,TRUE,8/4/2021 11:22,R_V296jSdgKSf1Q41,,,,,43.43249512,-80.49949646,anonymous,EN,0,0,25.284,0,Chrome,92.0.4515.107,Macintosh,1440x900,"Social Psychology,Moral Psychology",,Yes,Yes,Yes,PhD,,Assistant Professor,,University,,Israel,Morality is relevant for wisdom,Wisdom is relevant for morality,Knowledge is to intelligence ,wisdom can be a-moral; moral actions and judgments can be unwise; morals are beliefs about absolutes whereas wisdom is situation-specific,wisdom would usually associate with (some type) of moral intentions or actions but can be independent of moral intentions and actions ,Yes,Requires considering and integrating different perspectives and interests,Needs moral aspiration,what is considered wise can be different in different cultures; mental processes related to wisdom (if it is similarly defined) should be similar in different cultures. ,0,0,81.29,0,Epistemic humility/Recognition of limits of knowledge & one's fallibility,"Open-mindedness/Consideration of diverse perspectives,Pursuit of truth","Balance of diverse interests,Context-sensitivity",Experiential knowledge,1,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,"Brienza, J.P., Kung, F.Y.H. & Chao, M.M. Wise reasoning, intergroup positivity, and attitude polarization across contexts. Nat Commun 12, 3313 (2021). https://doi.org/10.1038/s41467-021-23432-1",,,Unknown,
8/4/2021 11:05,8/4/2021 11:38,IP Address,82.73.229.236,100,1971,TRUE,8/4/2021 11:38,R_3q0nla6hA2XBphD,,,,,53.22579956,6.534194946,anonymous,EN,0,0,27.594,0,Chrome,92.0.4515.107,Macintosh,1440x900,"Social Psychology,Moral Psychology",,Yes,Yes,No,PhD,,Associate Professor,,University,,Netherlands,Morality is relevant for wisdom,Wisdom is relevant for morality,a husband to a wife (or vice versa as I don't want to be stereotypical),"'- in my view wisdom helps to develop morality, although people can be moral without having much wisdom (but even more so when they do have wisdom); - moral motives can help to develop wisdom (as it motivates people to think about thing that matter), but  people can get quite far in developing wisdom without moral motives. ",,No,,,,0,0,76.134,0,,"Uncertainty management,Self-compassion,Balance of diverse interests,Self-transcendence","Experiential knowledge,Seeking Insight /Meaning,Declarative (book) knowledge,Context-sensitivity,Epistemic humility/Recognition of limits of knowledge & one's fallibility,Open-mindedness/Consideration of diverse perspectives,Deliberation/Reflection,Pursuit of truth,Equanimity/Self-control","Sympathy/compassion,Realization of shared humanity,In-group cooperation,Humor",,,,,,,,,,,,,,,,,,,,,,4,,,,,,3,,1,,,2,,5,6,9,4,,7,,8,,,,1,,3,2,,,,,,,,,2,,3,1,,,,,,,4,,,,Unknown,
8/4/2021 10:37,8/4/2021 10:41,IP Address,99.250.208.236,57,241,FALSE,8/4/2021 11:41,R_C4Fh1N1JtqklC37,,,,,,,anonymous,EN,0,0,1.762,0,Chrome,92.0.4515.107,Windows NT 10.0,2560x1440,"Cognitive Psychology,Developmental Psychology,Moral Psychology,Cognitive Science",,Yes,Yes,No,PhD,,Professor,,University,,canada,Morality is relevant for wisdom,Wisdom is relevant for morality,Knowledge is to true beliefs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/2021 10:37,8/4/2021 10:59,IP Address,134.2.206.31,50,1332,FALSE,8/4/2021 11:59,R_2VgZ8RGiWndMczF,,,,,,,anonymous,EN,0,0,202.928,0,Firefox,78,Windows NT 10.0,1920x1080,"Social Psychology,Moral Psychology",,Yes,Yes,No,PhD,,Post-Doctoral Scholar,,University,,Germany,"Morality is relevant for wisdom,Morality is necessary for wisdom",Wisdom is relevant for morality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/2021 11:07,8/4/2021 11:08,IP Address,142.1.155.5,10,13,FALSE,8/4/2021 12:08,R_1EbzsOsMNIMcYT9,,,,,,,anonymous,EN,0,0,5.427,0,Chrome,91.0.4472.106,Macintosh,2560x1440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/2021 12:08,8/4/2021 12:20,IP Address,75.57.22.232,100,730,TRUE,8/4/2021 12:20,R_12GcTct27RPS3tO,,,,,33.44430542,-86.75360107,anonymous,EN,3.982,4.518,5.283,2,Firefox iPhone,35,iPhone,428x926,"Personality Psychology,Other",Political science,No,No,Yes,PhD,,Assistant Professor,,University,,USA,Morality is necessary for wisdom,Wisdom is relevant for morality,Behavior is to instituons ,,,No,,,"Culture influences wisdom by providing context and guardrails for what is considered “moral”, wise, etc. Culture provides norms, practices, and expectations that inform what choices and attitudes constitute wisdom.   ",14.386,66.161,67.484,9,Open-mindedness/Consideration of diverse perspectives,"Epistemic humility/Recognition of limits of knowledge & one's fallibility,In-group cooperation,Deliberation/Reflection,Context-sensitivity,Balance of diverse interests","Pursuit of truth,Sympathy/compassion,Experiential knowledge,Declarative (book) knowledge","Humor,Self-compassion,Realization of shared humanity,Uncertainty management,Seeking Insight /Meaning,Equanimity/Self-control,Self-transcendence",,1,,,,,,,,,,,,,,,,1,,,4,,3,,,2,,5,,,,,,,,,,,,,,1,,2,,3,,4,,,,,,6,,7,,3,,,,,,4,,5,2,1,,,,,
